"","Title","Authors","Source Title","Publication Year","Total Citations"
"305","Challenges and Opportunities in Molecular-Level Indoor Surface Chemistry and Physics","Geiger;Grassian","CELL REPORTS PHYSICAL SCIENCE",2020,2
"306","Liquid-liquid phase separation and morphologies in organic particles consisting of alpha-pinene and beta-caryophyllene ozonolysis products and mixtures with commercially available organic compounds","Geiger;Young","ATMOSPHERIC CHEMISTRY AND PHYSICS",2020,0
"307","Mario Molina, 1943-2020","Geiger;McNeill","JOURNAL OF PHYSICAL CHEMISTRY A",2020,1
"308","A versatile and reproducible automatic injection system for liquid standard introduction: application to in-situ calibration","Isaacman-VanWertz;Goldstein","ATMOSPHERIC MEASUREMENT TECHNIQUES",2011,14
"309","Understanding evolution of product composition and volatility distribution through in-situ GC x GC analysis: a case study of longifolene ozonolysis","Isaacman-VanWertz;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,25
"310","Elucidating secondary organic aerosol from diesel and gasoline vehicles through detailed characterization of organic carbon emissions","Isaacman-VanWertz;Goldstein","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2012,274
"311","Embracing Complexity: Deciphering Origins and Transformations of Atmospheric Organics through Speciated Measurements","Isaacman-VanWertz;Goldstein","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2012,5
"312","Heterogeneous OH Oxidation of Motor Oil Particles Causes Selective Depletion of Branched and Less Cyclic Hydrocarbons","Isaacman-VanWertz;Goldstein","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2012,29
"313","Improved Resolution of Hydrocarbon Structures and Constitutional Isomers in Complex Mixtures Using Gas Chromatography-Vacuum Ultraviolet-Mass Spectrometry","Isaacman-VanWertz;Goldstein;Kroll","ANALYTICAL CHEMISTRY",2012,72
"314","Thermal Desorption Comprehensive Two-Dimensional Gas Chromatography: An Improved Instrument for In-Situ Speciated Measurements of Organic Aerosols","Isaacman-VanWertz;Goldstein","AEROSOL SCIENCE AND TECHNOLOGY",2012,29
"315","Chemical Composition of Gas-Phase Organic Carbon Emissions from Motor Vehicles and Implications for Ozone Production","Isaacman-VanWertz;Goldstein","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2013,93
"316","Detailed chemical characterization of unresolved complex mixtures in atmospheric organics: Insights into emission sources, atmospheric processing, and secondary organic aerosol formation","Isaacman-VanWertz;Goldstein","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,52
"317","Insights into Secondary Organic Aerosol Formation Mechanisms from Measured Gas/Particle Partitioning of Specific Organic Tracer Compounds","Isaacman-VanWertz;Goldstein;VandenBoer","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2013,40
"318","OH-Initiated Heterogeneous Oxidation of Cholestane: A Model System for Understanding the Photochemical Aging of Cyclic Alkane Aerosols","Isaacman-VanWertz;Goldstein","JOURNAL OF PHYSICAL CHEMISTRY A",2013,17
"319","Organic aerosol composition and sources in Pasadena, California, during the 2010 CalNex campaign","Isaacman-VanWertz;Goldstein;Stevens","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,161
"320","Sources of organic aerosol investigated using organic compounds as tracers measured during CalNex in Bakersfield","Isaacman-VanWertz;Goldstein","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,17
"321","The Influence of Molecular Structure and Aerosol Phase on the Heterogeneous Oxidation of Normal and Branched Alkanes by OH","Isaacman-VanWertz;Goldstein","JOURNAL OF PHYSICAL CHEMISTRY A",2013,39
"322","Development of an automated high-temperature valveless injection system for online gas chromatography","Isaacman-VanWertz;Goldstein","ATMOSPHERIC MEASUREMENT TECHNIQUES",2014,10
"323","Lubricating Oil Dominates Primary Organic Aerosol Emissions from Motor Vehicles","Isaacman-VanWertz;Goldstein","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2014,85
"324","Online derivatization for hourly measurements of gas- and particle-phase semi-volatile oxygenated organic compounds by thermal desorption aerosol gas chromatography (SV-TAG)","Isaacman-VanWertz;Goldstein","ATMOSPHERIC MEASUREMENT TECHNIQUES",2014,60
"325","Characterization of a real-time tracer for isoprene epoxydiols-derived secondary organic aerosol (IEPOX-SOA) from aerosol mass spectrometer measurements","Isaacman-VanWertz;Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,133
"326","Comprehensive Chemical Characterization of Hydrocarbons in NIST Standard Reference Material 2779 Gulf of Mexico Crude Oil","Isaacman-VanWertz;Goldstein","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2015,32
"327","Effects of anthropogenic emissions on aerosol formation from isoprene and monoterpenes in the southeastern United States (vol 112, pg 37, 2015)","Isaacman-VanWertz;Goldstein;de Gouw","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2015,7
"328","Fundamental Time Scales Governing Organic Aerosol Multiphase Partitioning and Oxidative Aging","Isaacman-VanWertz;Goldstein","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2015,17
"329","Ambient Gas-Particle Partitioning of Tracers for Biogenic Oxidation","Isaacman-VanWertz;Goldstein","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2016,47
"330","An improved, automated whole air sampler and gas chromatography mass spectrometry analysis system for volatile organic compounds in the atmosphere","Isaacman-VanWertz;de Gouw","ATMOSPHERIC MEASUREMENT TECHNIQUES",2017,28
"331","Atmospheric chemistry and the biosphere: general discussion","Isaacman-VanWertz;Williams;Young;Williams","FARADAY DISCUSSIONS",2017,1
"332","Atmospheric chemistry processes: general discussion","Isaacman-VanWertz;Williams;Kroll;Williams","FARADAY DISCUSSIONS",2017,0
"333","Automated single-ion peak fitting as an efficient approach for analyzing complex chromatographic data","Isaacman-VanWertz;Goldstein;de Gouw","JOURNAL OF CHROMATOGRAPHY A",2017,17
"334","Chemistry of Volatile Organic Compounds in the Los Angeles basin: Nighttime Removal of Alkenes and Determination of Emission Ratios","Isaacman-VanWertz;de Gouw;Stevens","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2017,19
"335","Field intercomparison of the gas/particle partitioning of oxygenated organics during the Southern Oxidant and Aerosol Study (SOAS) in 2013","Isaacman-VanWertz;Goldstein","AEROSOL SCIENCE AND TECHNOLOGY",2017,18
"336","Improved molecular level identification of organic compounds using comprehensive two-dimensional chromatography, dual ionization energies and high resolution mass spectrometry","Isaacman-VanWertz;Goldstein","ANALYST",2017,14
"337","Influence of urban pollution on the production of organic particulate matter from isoprene epoxydiols in central Amazonia","Isaacman-VanWertz;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2017,31
"338","New tools for atmospheric chemistry: general discussion","Isaacman-VanWertz;Williams;Young;Kroll;Williams","FARADAY DISCUSSIONS",2017,0
"339","On the implications of aerosol liquid water and phase separation for organic aerosol mass","Isaacman-VanWertz;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2017,79
"340","Using advanced mass spectrometry techniques to fully characterize atmospheric organic carbon: current capabilities and remaining gaps","Isaacman-VanWertz;Goldstein;Kroll;O'Brien","FARADAY DISCUSSIONS",2017,20
"341","Calibration and assessment of electrochemical air quality sensors by co-location with regulatory-grade instruments","Isaacman-VanWertz;Kroll","ATMOSPHERIC MEASUREMENT TECHNIQUES",2018,46
"342","Chemical evolution of atmospheric organic carbon over multiple generations of oxidation","Isaacman-VanWertz;Goldstein;Kroll;O'Brien","NATURE CHEMISTRY",2018,45
"343","Coupling of organic and inorganic aerosol systems and the effect on gas-particle partitioning in the southeastern US","Isaacman-VanWertz;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,38
"344","Monoterpenes are the largest source of summertime organic aerosol in the southeastern United States","Isaacman-VanWertz;Goldstein;de Gouw","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2018,100
"345","Observations of sesquiterpenes and their oxidation products in central Amazonia during the wet and dry seasons","Isaacman-VanWertz;Goldstein;Geiger","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,23
"346","Organosulfates in aerosols downwind of an urban region in central Amazon","Isaacman-VanWertz;Goldstein","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2018,25
"347","Secondary organic aerosol formation from ambient air in an oxidation flow reactor in central Amazonia","Isaacman-VanWertz;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,41
"348","Urban influence on the concentration and composition of submicron particulate matter in central Amazonia","Isaacman-VanWertz;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,15
"349","Volatile chemical products emerging as largest petrochemical source of urban organic emissions","Isaacman-VanWertz;Goldstein;de Gouw","SCIENCE",2018,305
"350","Contributions of biomass-burning, urban, and biogenic emissions to the concentrations and light-absorbing properties of particulate matter in central Amazonia during the dry season","Isaacman-VanWertz;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2019,3
"351","Urban pollution greatly enhances formation of natural aerosols over the Amazon rainforest","Isaacman-VanWertz;Goldstein;McNeill","NATURE COMMUNICATIONS",2019,51
"352","Contrasting Reactive Organic Carbon Observations in the Southeast United States (SOAS) and Southern California (CalNex)","Isaacman-VanWertz;Goldstein;Young;de Gouw;Stevens","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,1
"353","Natural and Anthropogenically Influenced Isoprene Oxidation in Southeastern United States and Central Amazon","Isaacman-VanWertz;Goldstein","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,7
"354","Organic Sulfur Products and Peroxy Radical Isomerization in the OH Oxidation of Dimethyl Sulfide","Isaacman-VanWertz;Kroll","ACS EARTH AND SPACE CHEMISTRY",2021,0
"355","The influence of chemical interactions at the human surface on breathing zone levels of reactants and products","Morrison;Novoselac;Rim","INDOOR AIR",2009,44
"356","Passive reduction of human exposure to indoor ozone","Morrison;Novoselac","BUILDING AND ENVIRONMENT",2010,46
"357","In planta passive sampling devices for assessing subsurface chlorinated solvents","Morrison;Burken","CHEMOSPHERE",2014,9
"358","A modeling enterprise for chemistry of indoor environments (CIE)","Morrison;Waring;Carslaw","INDOOR AIR",2017,6
"359","Impact of surface ozone interactions on indoor air chemistry: A modeling study","Morrison;Carslaw","INDOOR AIR",2017,38
"360","Analysis of indoor particles and gases and their evolution with natural ventilation","Morrison;Williams;Williams","INDOOR AIR",2019,9
"361","Clothing-Mediated Exposures to Chemicals and Particles","Morrison;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,22
"362","Indoor boundary layer chemistry modeling","Morrison;Abbatt;Shiraiwa","INDOOR AIR",2019,6
"363","Modelling consortium for chemistry of indoor environments (MOCCIE): integrating chemical processes from molecular to room scales","Morrison;Young;Rim;Shiraiwa;Waring;Carslaw","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,16
"364","The impact of clothing on ozone and squalene ozonolysis products in indoor environments","Morrison;Young;Rim;Shiraiwa","COMMUNICATIONS CHEMISTRY",2019,22
"365","Indoor Surface Chemistry: Developing a Molecular Picture of Reactions on Indoor Interfaces","Morrison;Ault;Donaldson;Farmer;Shiraiwa;Vance;Carslaw;O'Brien;McNeill;Grassian","CHEM",2020,10
"366","Spatial distributions of ozonolysis products from human surfaces in ventilated rooms","Morrison;Young;Rim;Shiraiwa","INDOOR AIR",2020,4
"367","The Indoor Chemical Human Emissions and Reactivity (ICHEAR) project: Overview of experimental methodology and preliminary results","Morrison;Williams;Williams","INDOOR AIR",2020,9
"368","Assessing Human Exposure to SVOCs in Materials, Products, and Articles: A Modular Mechanistic Framework","Morrison;Shiraiwa","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2021,6
"369","Continuous measurement of reactive oxygen species inside and outside of a residential house during summer","Morrison;Williams;Williams","INDOOR AIR",2021,1
"370","Evaluating Indoor Air Chemical Diversity, Indoor-to-Outdoor Emissions, and Surface Reservoirs Using High-Resolution Mass Spectrometry","Morrison;Williams;Williams","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2021,0
"371","Correlation of secondary organic aerosol with odd oxygen in Mexico City","Kroll;de Gouw","GEOPHYSICAL RESEARCH LETTERS",2008,106
"372","O/C and OM/OC ratios of primary, secondary, and ambient organic aerosols with high-resolution time-of-flight aerosol mass spectrometry","Kroll;Ziemann","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2008,1012
"373","A new cavity based absorption instrument for detection of water isotopologues in the upper troposphere and lower stratosphere","Kroll;O'Brien","REVIEW OF SCIENTIFIC INSTRUMENTS",2009,68
"374","Evolution of Organic Aerosols in the Atmosphere","Kroll;Williams;Williams","SCIENCE",2009,2239
"375","Isoprene photooxidation: new insights into the production of acids and organic nitrates","Kroll;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2009,295
"376","A simplified description of the evolution of organic aerosol composition in the atmosphere","Kroll;Farmer","GEOPHYSICAL RESEARCH LETTERS",2010,293
"377","Investigation of the correlation between odd oxygen and secondary organic aerosol in Mexico City and Houston","Kroll;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,62
"378","Improved Resolution of Hydrocarbon Structures and Constitutional Isomers in Complex Mixtures Using Gas Chromatography-Vacuum Ultraviolet-Mass Spectrometry","Kroll;Goldstein","ANALYTICAL CHEMISTRY",2012,72
"379","Mass Spectral Analysis of Organic Aerosol Formed Downwind of the Deepwater Horizon Oil Spill: Field Studies and Laboratory Confirmations","Kroll;Williams;Williams;de Gouw","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2012,32
"380","Why do organic aerosols exist? Understanding aerosol lifetimes using the two-dimensional volatility basis set","Kroll;Adams","ENVIRONMENTAL CHEMISTRY",2013,75
"381","Elemental ratio measurements of organic compounds using aerosol mass spectrometry: characterization, improved calibration, and implications","Kroll;Williams;Williams;Ruiz","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,461
"382","Comprehensive characterization of atmospheric organic carbon at a forested site","Kroll;Goldstein","NATURE GEOSCIENCE",2017,34
"383","The Essential Role for Laboratory Studies in Atmospheric Chemistry","Kroll;Abbatt;Ziemann;McNeill","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2017,45
"384","Using advanced mass spectrometry techniques to fully characterize atmospheric organic carbon: current capabilities and remaining gaps","Kroll;Goldstein;Isaacman-VanWertz;O'Brien","FARADAY DISCUSSIONS",2017,20
"385","Calibration and assessment of electrochemical air quality sensors by co-location with regulatory-grade instruments","Kroll;Isaacman-VanWertz","ATMOSPHERIC MEASUREMENT TECHNIQUES",2018,46
"386","Chemical evolution of atmospheric organic carbon over multiple generations of oxidation","Kroll;Goldstein;Isaacman-VanWertz;O'Brien","NATURE CHEMISTRY",2018,45
"387","Chemical Characterization of Isoprene- and Monoterpene-Derived Secondary Organic Aerosol Tracers in Remote Marine Aerosols over a Quarter Century","Kroll;O'Brien","ACS EARTH AND SPACE CHEMISTRY",2019,13
"388","Inferring Aerosol Sources from Low-Cost Air Quality Sensor Measurements: A Case Study in Delhi, India","Kroll;Ruiz","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2019,7
"389","Infrared Ion Spectroscopy of Environmental Organic Mixtures: Probing the Composition of alpha-Pinene Secondary Organic Aerosol","Kroll;O'Brien","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,6
"390","Joint Impacts of Acidity and Viscosity on the Formation of Secondary Organic Aerosol from Isoprene Epoxydiols (IEPDX) in Phase Separated Particles","Kroll;Ault;Turpin","ACS EARTH AND SPACE CHEMISTRY",2019,26
"391","OH chemistry of non-methane organic gases (NMOGs) emitted from laboratory and ambient biomass burning smoke: evaluating the influence of furans and oxygenated aromatics on ozone and secondary NMOG formation","Kroll;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2019,21
"392","Photolytic Aging of Secondary Organic Aerosol: Evidence for a Substantial Photo-Recalcitrant Fraction","Kroll;O'Brien","JOURNAL OF PHYSICAL CHEMISTRY LETTERS",2019,12
"393","Secondary organic aerosol formation from the laboratory oxidation of biomass burning emissions","Kroll;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2019,32
"394","Ultrasonic nebulization for the elemental analysis of microgram-level samples with offline aerosol mass spectrometry","Kroll;O'Brien","ATMOSPHERIC MEASUREMENT TECHNIQUES",2019,7
"395","A biogenic secondary organic aerosol source of cirrus ice nucleating particles","Kroll;Abbatt","NATURE COMMUNICATIONS",2020,5
"396","Biomass-burning-derived particles from a wide variety of fuels - Part 2: Effects of photochemical aging on particle optical and chemical properties","Kroll;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2020,10
"397","Oxygenated Aromatic Compounds are Important Precursors of Secondary Organic Aerosol in Biomass-Burning Emissions","Kroll;de Gouw","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,11
"398","The complex chemical effects of COVID-19 shutdowns on air quality","Kroll;Farmer","NATURE CHEMISTRY",2020,49
"399","Investigating Carbonaceous Aerosol and Its Absorption Properties From Fires in the Western United States (WE-CAN) and Southern Africa (ORACLES and CLARIFY)","Kroll;Farmer","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2021,0
"400","Organic Sulfur Products and Peroxy Radical Isomerization in the OH Oxidation of Dimethyl Sulfide","Kroll;Isaacman-VanWertz","ACS EARTH AND SPACE CHEMISTRY",2021,0
"401","In planta passive sampling devices for assessing subsurface chlorinated solvents","Burken;Morrison","CHEMOSPHERE",2014,9
"402","Simultaneous detection of perchlorate and bromate using rapid high-performance ion exchange chromatography-tandem mass spectrometry and perchlorate removal in drinking water","Burken;Adams","ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH",2015,12
"403","An overview of current issues in the uptake of atmospheric trace gases by aerosols and clouds","Abbatt;Donaldson","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,256
"404","Characterization of aerosol photooxidation flow reactors: heterogeneous oxidation, secondary organic aerosol formation and cloud condensation nuclei activity measurements","Abbatt;Williams;Williams","ATMOSPHERIC MEASUREMENT TECHNIQUES",2011,184
"405","The role of long-lived reactive oxygen intermediates in the reaction of ozone with aerosol particles","Abbatt;Shiraiwa","NATURE CHEMISTRY",2011,126
"406","Organics in environmental ices: sources, chemistry, and impacts","Abbatt;Donaldson;Kahan;McNeill","ATMOSPHERIC CHEMISTRY AND PHYSICS",2012,77
"407","Kinetic limitations in gas-particle reactions arising from slow diffusion in secondary organic aerosol","Abbatt;Shiraiwa","FARADAY DISCUSSIONS",2013,93
"408","Photochemical chlorine and bromine activation from artificial saline snow","Abbatt;Donaldson","ATMOSPHERIC CHEMISTRY AND PHYSICS",2013,32
"409","A review of air-ice chemical and physical interactions (AICI): liquids, quasi-liquids, and solids in snow","Abbatt;Kahan;McNeill","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,151
"410","Collection efficiency of the soot-particle aerosol mass spectrometer (SP-AMS) for internally mixed particulate black carbon","Abbatt;Williams;Williams","ATMOSPHERIC MEASUREMENT TECHNIQUES",2014,48
"411","A marine biogenic source of atmospheric ice-nucleating particles","Abbatt;Carslaw","NATURE",2015,274
"412","Observations and impacts of bleach washing on indoor chlorine chemistry","Abbatt;Carslaw","INDOOR AIR",2017,52
"413","The Essential Role for Laboratory Studies in Atmospheric Chemistry","Abbatt;Kroll;Ziemann;McNeill","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2017,45
"414","Ice-nucleating ability of aerosol particles and possible sources at three coastal marine sites","Abbatt;Carslaw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,21
"415","Multiphase reactivity of polycyclic aromatic hydrocarbons is driven by phase separation and diffusion limitations","Abbatt;Shiraiwa","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2019,32
"416","Organic Peroxides and Sulfur Dioxide in Aerosol: Source of Particulate Sulfate","Abbatt;McNeill","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,19
"417","Overview of HOMEChem: House Observations of Microbial and Environmental Chemistry","Abbatt;Goldstein;Novoselac;Farmer;Ruiz;Vance;Stevens;O'Brien;Kahan;Grassian;Nazaroff","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,61
"418","Sources of isocyanic acid (HNCO) indoors: a focus on cigarette smoke","Abbatt;Borduas-Dedekind","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,9
"419","Cooking, Bleach Cleaning, and Air Conditioning Strongly Impact Levels of HONO in a House","Abbatt;Novoselac;Farmer;Vance;Stevens","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,4
"420","Dark Chemistry during Bleach Cleaning Enhances Oxidation of Organics and Secondary Organic Aerosol Production Indoors","Abbatt;Goldstein;Farmer","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2020,7
"421","Multiphase Chemistry Controls Inorganic Chlorinated and Nitrogenated Compounds in Indoor Air during Bleach Cleaning","Abbatt;Goldstein;Farmer;Ruiz;Shiraiwa;Vance;Kahan","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,24
"422","Reactive Uptake of Ozone to Simulated Seawater: Evidence for Iodide Depletion","Abbatt;Shiraiwa","JOURNAL OF PHYSICAL CHEMISTRY A",2020,0
"423","Surface reservoirs dominate dynamic gas-surface partitioning of many indoor air constituents","Abbatt;Goldstein;Novoselac;Farmer;Vance;Nazaroff","SCIENCE ADVANCES",2020,36
"424","Modeling the Removal of Water-Soluble Trace Gases from Indoor Air via Air Conditioner Condensate","Abbatt;Donaldson;Farmer","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2021,0
"425","Spatial and temporal scales of variability for indoor air constituents","Abbatt;Novoselac;Young;Farmer;Rim;Shiraiwa;Carslaw;Stevens;Kahan","COMMUNICATIONS CHEMISTRY",2021,0
"426","Atmospheric benzenoid emissions from plants rival those from fossil fuels","Williams;Goldstein","SCIENTIFIC REPORTS",2015,61
"427","Contrasting organic aerosol particles from boreal and tropical forests during HUMPPA-COPEC-2010 and AMAZE-08 using coherent vibrational spectroscopy","Williams;Geiger","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,24
"428","Evaluating Indoor Air Chemical Diversity, Indoor-to-Outdoor Emissions, and Surface Reservoirs Using High-Resolution Mass Spectrometry","Williams;Morrison","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2021,0
"429","Global atmospheric budget of acetaldehyde: 3-D model analysis and constraints from in-situ and satellite observations","Williams;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,183
"430","GLOVOCS - Master compound assignment guide for proton transfer reaction mass spectrometry users","Williams;de Gouw","ATMOSPHERIC ENVIRONMENT",2021,4
"431","Heterogeneous Ozonolysis of Squalene: Gas-Phase Products Depend on Water Vapor Concentration","Williams;Goldstein;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,15
"432","New constraints on terrestrial and oceanic sources of atmospheric methanol","Williams;Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2008,100
"433","Organic Constituents on the Surfaces of Aerosol Particles from Southern Finland, Amazonia, and California Studied by Vibrational Sum Frequency Generation","Williams;Goldstein;Geiger","JOURNAL OF PHYSICAL CHEMISTRY A",2012,28
"434","The Indoor Chemical Human Emissions and Reactivity (ICHEAR) project: Overview of experimental methodology and preliminary results","Williams;Morrison","INDOOR AIR",2020,9
"435","Correlation of secondary organic aerosol with odd oxygen in Mexico City","de Gouw;Kroll","GEOPHYSICAL RESEARCH LETTERS",2008,106
"436","New constraints on terrestrial and oceanic sources of atmospheric methanol","de Gouw;Goldstein;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2008,100
"437","Sources of particulate matter in the northeastern United States in summer: 1. Direct emissions and secondary formation of organic matter in urban plumes","de Gouw;Williams;Williams","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2008,126
"438","Total observed organic carbon (TOOC) in the atmosphere: a synthesis of North American observations","de Gouw;Goldstein;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2008,62
"439","Closing the peroxy acetyl nitrate budget: observations of acyl peroxy nitrates (PAN, PPN, and MPAN) during BEARPEX 2007","de Gouw;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2009,65
"440","In-situ ambient quantification of monoterpenes, sesquiterpenes, and related oxygenated compounds during BEARPEX 2007: implications for gas- and particle-phase chemistry","de Gouw;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2009,108
"441","Measurements of volatile organic compounds during the 2006 TexAQS/GoMACCS campaign: Industrial influences, regional characteristics, and diurnal dependencies of the OH reactivity","de Gouw;Williams;Williams","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2009,76
"442","Methyl chavicol: characterization of its biogenic emission rate, abundance, and oxidation products in the atmosphere","de Gouw;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2009,33
"443","Radicals in the marine boundary layer during NEAQS 2004: a model study of day-time and night-time sources and sinks","de Gouw;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2009,18
"444","Regional variation of the dimethyl sulfide oxidation mechanism in the summertime marine boundary layer in the Gulf of Maine","de Gouw;Williams;Williams","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2009,18
"445","Closing the Peroxy Acetyl (PA) Radical Budget: Observations of Acyl Peroxy Nitrates (PAN, PPN, and MPAN) During BEARPEX 2007","de Gouw;Goldstein","AIR POLLUTION MODELING AND ITS APPLICATION XX",2010,1
"446","Contribution of isoprene-derived organosulfates to free tropospheric aerosol mass","de Gouw;Wennberg","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2010,140
"447","Global atmospheric budget of acetaldehyde: 3-D model analysis and constraints from in-situ and satellite observations","de Gouw;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,180
"448","Observational constraints on the global atmospheric budget of ethanol","de Gouw;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,42
"449","Ozone variability and halogen oxidation within the Arctic and sub-Arctic springtime boundary layer","de Gouw;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,75
"450","Evaluations of NOx and highly reactive VOC emission inventories in Texas and their implications for ozone plume simulations during the Texas Air Quality Study 2006","de Gouw;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,62
"451","Importance of secondary sources in the atmospheric budgets of formic and acetic acids","de Gouw;Wennberg","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,195
"452","Modelled and measured concentrations of peroxy radicals and nitrate radical in the US Gulf Coast region during TexAQS 2006","de Gouw;Williams;Williams","JOURNAL OF ATMOSPHERIC CHEMISTRY",2011,7
"453","Origins and composition of fine atmospheric carbonaceous aerosol in the Sierra Nevada Mountains, California","de Gouw;Goldstein;Williams;Farmer;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,58
"454","Ozone production in remote oceanic and industrial areas derived from ship based measurements of peroxy radicals during TexAQS 2006","de Gouw;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,10
"455","Photochemical modeling of glyoxal at a rural site: observations and analysis from BEARPEX 2007","de Gouw;Goldstein;Farmer","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,28
"456","The Chemistry of Atmosphere-Forest Exchange (CAFE) Model - Part 2: Application to BEARPEX-2007 observations","de Gouw;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,47
"457","The glyoxal budget and its contribution to organic aerosol for Los Angeles, California, during CalNex 2010","de Gouw;Young;Stevens","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2011,71
"458","Increasing atmospheric burden of ethanol in the United States","de Gouw;Goldstein","GEOPHYSICAL RESEARCH LETTERS",2012,29
